Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Madagascar,MDG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,70.68617,..,..,..,..,..,..,..,..,64.48091,..,..,71.57262,..,..,..,..,..,74.80432,..
Malawi,MWI,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.8,..,..,..,..,..,..,39.9,..,..,..,..,..,45.5,..,..,..,..,..,44.7,..,..,..
Malawi,MWI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.53665,..,..,..,..,..,..,..,..,..,..,64.13425,..,..,..,..,..,..,..,..,..,..,..,61.30972,..,..,..,65.14537,62.14354,..,..,..,..
Malaysia,MYS,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.6,..,..,47,..,46.2,..,..,47.7,..,..,48.5,..,49.1,..,..,..,..,..,..,46.1,..,..,46.1,45.5,..,..,43.9,..,41.3,..,41,..,..,..,..
Malaysia,MYS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.51633,..,..,..,..,..,..,..,..,..,..,82.91537,..,..,..,..,..,..,..,..,88.68776,..,..,..,..,..,..,..,..,..,93.11789,..,..,..,..,..,93.7347,95.08265,94.85441,..
Maldives,MDV,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,41.3,..,..,..,..,..,..,38.4,..,..,..,..,..,..,31.3,..,..,..
Maldives,MDV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.29996,..,..,..,..,..,..,..,92.23005,..,..,..,..,96.01826,..,..,..,..,96.3265,..,..,..,..,..,..,..,..,..,..,98.3979,..,..,..,..,..,..,..,98.61012,..,97.73495,..,..,..
Mali,MLI,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,50.4,..,..,..,..,..,..,39.9,..,..,..,..,38.9,..,..,33,..,..,..,..,..,..,..,..,..,..
Mali,MLI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.43381,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.04497,..,..,..,..,24,..,..,26.17655,..,..,..,31.09975,33.56094,..,..,..,33.06889,..,..,35.47377,..
Malta,MLT,GINI index (World Bank estimate),SI.POV.GINI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28,29.2,29,30.2,29,29.1,29.4,28.8,29,29.4,29.1,29.2,..,..
